Title,Author,System,Price,Link
The Gardens of Ynn,Emmy Allen,,,
The Stygian Library,Emmy Allen,,,
Transmission for Them,Eryk Sawicki,,,
World Ending Game,Everest Pipkin,,50,https://web.archive.org/web/20250901161532/https://everestpipkin.itch.io/world-ending-game
Paleozoic Pals,Evey Lockhart,Troika,,
Slow Sleigh to Plankton Downs,Ezra Claverie,Troika,,
In Play: Issue #1,FKR Collective,FKR,,
In Play: Issue #2,FKR Collective,FKR,,
Dead Planet,Fiona Maeve Geist,Mothership,28,https://web.archive.org/web/20230606031321/https://spearwitch.com/products/dead-planet
First Person Stimulator,Freya Campbell,Plaintext Distro,,
Cycles of the Eye,"Gareth Damian Martin, Alfred Valley",,,
Old School Essentials: Classic Game Set,Gavin Norman,OSE,42,https://web.archive.org/web/20250724112539/https://www.exaltedfuneral.com/products/old-school-essentials-black-box
Old School Essentials: Advanced Expansion Set,Gavin Norman,OSE,42,https://web.archive.org/web/20250724112539/https://www.exaltedfuneral.com/products/old-school-essentials-advanced-expansion-set-1
Liminal Horror,Goblin Archives,Liminal Horror,12,https://web.archive.org/web/20250809005728/https://goblinarchives.itch.io/liminal-horror
The Mall,Goblin Archives,Liminal Horror,15,https://web.archive.org/web/20250803151308/https://goblinarchives.itch.io/the-mall
Mythomorphosis: Second Edition,Gordie Murphy,,,
Anarchist Survival Guide,Harold H. Thompson,,,
Miru: An Analog Adventure Game,Hinokodo,,,
Miru 2: An Analog Horror Game,Hinokodo,,,
Skyrealms: Creatures and Folks,"Iko, Evlyn Moreau",,,
Skyrealms: Almanac,"Iko, Evlyn Moreau",,,
Broken Luck,"Iko, Perplexing Ruins",Troika,,
Mausritter: Boxed Set,Isaac Williams,Mausritter,55,https://web.archive.org/web/20250813193724/https://www.exaltedfuneral.com/products/mausritter-boxed-set
Mausritter: The Estate Adventure Collection,Isaac Williams,Mausritter,55,https://web.archive.org/web/20250817022317/https://www.exaltedfuneral.com/products/mausritter-the-estate-adventure-collection
Shrine of the Scorpion Lords,Jacob Fleming,Dungeon Goons,,
Advanced Dungeon Goons: 2nd Edition,Jacob Fleming,Dungeon Goons,,
In the Shadow of Tower Silveraxe,Jacob Fleming,OSE,,
Through the Valley of the Manticore,Jacob Fleming,OSE,,
The Vanilla Game,Jared Sinclair,TVG,,
Ecce Ego Usque Ad Mortem,Jared Sinclair,TVG,4,https://web.archive.org/web/20250620044301/https://spearwitch.com/products/ecce-ego-usque-ad-mortem
Prismot!: Issue 1,Jared Sinclair,Troika,10,https://web.archive.org/web/20250620045828/https://spearwitch.com/products/prismot-a-troikawave-zine
Prismot!: Issue 2,Jared Sinclair,Troika,12,https://web.archive.org/web/20250519014644/https://spearwitch.com/products/prismot-2
Clay Creatures: Calamitous Confrontation,Jared Sinclair,,7,https://web.archive.org/web/20250518233757/https://spearwitch.com/products/clay-creatures-calamitous-confrontation
Prismot!: Issue 3,Jared Sinclair,Troika,30,https://web.archive.org/web/20250519024816/https://spearwitch.com/products/prismot-volume-3
Kobolds in the Equipment Graveyard,Jason Wardell,Bastards,10,https://web.archive.org/web/20250620050856/https://spearwitch.com/products/kobolds-in-the-equipment-graveyard
Stones to Kill the Sea,Jason Wardell,Bastards,8,https://web.archive.org/web/20250430141716/https://spearwitch.com/products/stones-to-kill-the-sea
Trophy Dark,Jesse Ross,Trophy,,
Trophy Gold,Jesse Ross,Trophy,,
Trophy Loom,Jesse Ross,Trophy,,
Cloud Empress: Lord of the Goneaway,Joel Hines,"Mothership, Cloud Empress",,
Verdy's Free Kriegspiel,John Curry,Kriegspiel,22,https://web.archive.org/web/20250901161501/https://www.amazon.ca/Verdys-Free-Kriegspiel-including-Victorian/dp/B09ZLPGRJS
"Pocket Histories #1: Kiev, Moscow, and Russia",Johnnie B. Baker,,,
Pocket Histories #2: U.S. Imperialism,Johnnie B. Baker,,,
Pocket Histories #3: The Cold War,Johnnie B. Baker,,,
Pocket Histories #4: Charlemagne,Johnnie B. Baker,,,
A Sea of Glass,Jon Davis,Bastards,10,https://web.archive.org/web/20250519022512/https://spearwitch.com/products/a-sea-of-glass
Peak of Woe,"Jon Davis, Matthew Morris",Bastards,20,https://web.archive.org/web/20250602143819/https://www.exaltedfuneral.com/products/bastardized-classics-peak-of-woe
Vault of Doom,"Jon Davis, Matthew Morris",Bastards,20,https://web.archive.org/web/20250716042207/https://www.exaltedfuneral.com/products/bastardized-classics-vault-of-doom
A Chaotic Cataloging: A Seasons of Hieron Fanzine,"Katie Diek, et al.",Friends at the Table,30,https://web.archive.org/web/20250323213925/https://crowdfundr.com/HieronZine
Curse Scroll #1,Kelsey Dionne,Shadowdark,,
Cursed Scroll #2,Kelsey Dionne,Shadowdark,,
Cursed Scroll #3,Kelsey Dionne,Shadowdark,,
Shadowdark,Kelsey Dionne,Shadowdark,,
Cloud Empress: Labyrinth of the Bride,Kienna Shaw,"Mothership, Cloud Empress",,
Black Sword Hack: Ultimate Chaos Edition,"Kobayashi, The Merry Mushmen",,53,https://web.archive.org/web/20250808015136/https://www.themerrymushmen.com/product/black-sword-hack-ultimate-chaos-edition/
Vaults of Vaarn: Issue 01,Leo Hunt,Vaarn,,
Vaults of Vaarn: Issue 02,Leo Hunt,Vaarn,,
Vaults of Vaarn: Issue 03,Leo Hunt,Vaarn,,
Pariahs of Vaarn,Leo Hunt,Vaarn,,
The Tomb of An-Rah Nassak,Leo Hunt,Vaarn,,
Khenet Rock,Leo Hunt,Vaarn,,
The Fount of Illustrious Flesh,Leo Hunt,Vaarn,,
The Town of Caeba,Leo Hunt,Vaarn,,
Vaults of Vaarn: Issue 04,Leo Hunt,Vaarn,,
Tiny Tome 1,Long Tail Games,,19,https://web.archive.org/web/20250206164255/https://www.indiepressrevolution.com/xcart/Tiny-Tome-1.html
Holy Mountain Shaker,Luka Rejec,OSE,15,https://web.archive.org/web/20250622051336/https://www.exaltedfuneral.com/products/holy-mountain-shaker
Longwinter: Referee's Book,Luka Rejec,,20,https://web.archive.org/web/20250713073405/https://www.exaltedfuneral.com/products/longwinter
Longwinter: Visitor's Book,Luka Rejec,,20,https://web.archive.org/web/20250716042638/https://www.exaltedfuneral.com/products/longwinter-visitors-book
Witchburner: 3rd Funeral Edition,Luka Rejec,,15,https://web.archive.org/web/20250808195754/https://www.exaltedfuneral.com/products/reanimated-damage-witchburner-pdf-warning
Let Us In,Luka Rejec,,15,https://web.archive.org/web/20250613192603/https://www.exaltedfuneral.com/products/let-us-in-pdf
SDM Codex 1: Magitechnica,Luka Rejec,SDM,15,https://web.archive.org/web/20250613194355/https://www.exaltedfuneral.com/products/magitecnica-the-use-and-misuse-of-powers-great-and-small-pdf
"SDM: There, A Red Door",Luka Rejec,SDM,15,https://web.archive.org/web/20250424063506/https://www.exaltedfuneral.com/products/there-a-red-door
SDM: Eternal Return Key,Luka Rejec,SDM,15,https://web.archive.org/web/20250624071927/https://www.exaltedfuneral.com/products/sdm-eternal-return-key-chromademon-version
The Isle,Luke Gearing,TVG,48,https://web.archive.org/web/20250729225804/https://spearwitch.com/products/pre-order-the-isle
Acid Death Fantasy,Luke Gearing,Troika,,
Gradient Descent,Luke Gearing,Mothership,28,https://web.archive.org/web/20250620050558/https://spearwitch.com/products/gradient-descent
Fantastic Medieval Campaigns,Marcia B.,D&D 0e,25,https://web.archive.org/web/20241003012747/https://www.lulu.com/shop/marcia-b/fantastic-medieval-campaigns-color-softcover/paperback/product-rmdr58y.html
Casket Land,Marie Enger,,,
Casket Land,Marie Enger,,,
Exp. Game Zine 2600,Mathew Kumar,,,
Exp. Game Zine 2601,Mathew Kumar,,,
Bastard! Solo-Play Procedures,Matthew Morris,Bastards,6,https://web.archive.org/web/20250730054724/https://manadawnttg.itch.io/bstrd-solo
Melting Skulls of the Conquering Dunes,Matthew Morris,Bastards,10,https://web.archive.org/web/20250801112046/https://manadawnttg.itch.io/melting-skulls-of-the-conquering-dunes
Ships: A Vessels Supplement,Matthew Morris,Bastards,10,https://web.archive.org/web/20250730022006/https://manadawnttg.itch.io/ships
Lakeside Athenaeum,Matthew Morris,Bastards,10,https://web.archive.org/web/20250713014923/https://spearwitch.com/products/lakeside-athenaeum
Blade in the Burning Peak,Matthew Morris,Bastards,6,https://web.archive.org/web/20250801074753/https://manadawnttg.itch.io/blade-in-the-burning-peak
Wheels Within the Jungle Skies,Matthew Morris,Bastards,16,https://web.archive.org/web/20250713015408/https://spearwitch.com/products/wheels-within-the-jungles-skies
In Pursuit of What Is Hidden,Matthew Morris,Bastards,10,https://web.archive.org/web/20250620042351/https://spearwitch.com/products/in-pursuit-of-what-is-hidden
Dire Cay,Matthew Morris,Bastards,16,https://web.archive.org/web/20250620050816/https://spearwitch.com/products/dire-cay
Bastard's House Rules Edition,Matthew Morris,Bastards,8,https://web.archive.org/web/20250729235753/https://manadawnttg.itch.io/bastards-house-rules-edition
Bastion on the Frontier,"Matthew Morris, Jon Davis",Bastards,18,https://web.archive.org/web/20250624072105/https://www.exaltedfuneral.com/products/bastardized-classics-bastion-on-the-frontier
The Black Manse,Micah Anderson,Bastards,42,https://web.archive.org/web/20250620042239/https://spearwitch.com/products/pre-order-black-manse
Bastards,Micah Anderson,Bastards,12,https://web.archive.org/web/20250803003245/https://micah-anderson.itch.io/bastards
A Simple Dungeon,Micah Anderson,Bastards,8,https://web.archive.org/web/20250820190410/https://micah-anderson.itch.io/a-simple-dungeon
Bastards: Pearlescent Edition,Micah Anderson,Bastards,22,https://web.archive.org/web/20250620043440/https://spearwitch.com/products/bastards-pearlescent-edition
Bastards: Appendices,Micah Anderson,Bastards,10,https://web.archive.org/web/20250729111533/https://micah-anderson.itch.io/bastards-appendices-a-f
The Phthalo Mountains: An Atlas Interstice,Micah Anderson,An Atlas,23,https://web.archive.org/web/20250518234238/https://spearwitch.com/products/the-phthalo-mountains
Traveler's Almanac,Micah Anderson,Bastards,,
"The Batrachian Swamps: Part One of ""An Atlas""","Micah Anderson, Nate Treme",An Atlas,16,https://web.archive.org/web/20250426020239/https://spearwitch.com/products/pre-order-batrachian-swamps
"The Desert of Yondo: Part Two of ""An Atlas""","Micah Anderson, Nate Treme",An Atlas,20,
Stonehell Dungeon: Down Night-Haunted Halls,Michael Curtis,Labyrinth Lord,14,https://web.archive.org/web/20250807013044/https://www.lulu.com/shop/michael-curtis/stonehell-dungeon-down-night-haunted-halls/paperback/product-1v8vy2zz.html
Stonehell Dungeon: Into the Heart of Hell,Michael Curtis,Labyrinth Lord,26,https://web.archive.org/web/20250522140337/https://www.lulu.com/shop/michael-curtis/stonehell-dungeon-into-the-heart-of-hell/paperback/product-1mqkznnv.html
Dungeon Module B1: In Search of the Unknown,Mike Carr,D&D Basic Set,12,https://www.drivethrurpg.com/en/product/17081/b1-in-search-of-the-unknown-basic
Forgotten Worlds: Issue #4,Mikolai,,,
Forgotten Worlds: Issue #5,Mikolai,,,
The Magus,Momatoes,,,
Arc,Momatoes,,,
The Oracle: An Inspiration Deck,Momatoes,,,
Unconquered,Monkey's Paw Games,,35,
Serpent & Oak,Narrative Dynamics,Rebel Crown,,
Rebel Crown,Narrative Dynamics,Rebel Crown,,
Pilgrims of the Nighted Path,Nate Treme,Prole,15,https://web.archive.org/web/20250808204532/https://www.exaltedfuneral.com/products/pilgrims-of-the-nighted-path
Kozmik Objects & Entities,Nate Treme,,,
Moss Dripped Woods,Perplexing Ruins,Bastards,10,https://web.archive.org/web/20250806055804/https://www.exaltedfuneral.com/products/moss-dripped-woods-pdf
Planar Compass #1,Planar Compass,OSE,15,https://web.archive.org/web/20250519113623/https://www.planarcompass.com/planar-compass-zine/planar-compass-issue-1
Planar Compass #2,Planar Compass,OSE,24,https://web.archive.org/web/20250419165031/https://www.planarcompass.com/planar-compass-zine/planar-compass-issue-2
Planar Compass #3,Planar Compass,OSE,18,https://web.archive.org/web/20250710232658/https://www.planarcompass.com/planar-compass-zine/planar-compass-issue-3
Vermis,Plastiboo,,,
Vermis II,Plastiboo,,,
Yazeba's Bed and Breakfast,Possum Creek Games,,,
Barrow Keep: Den of Spies,R. Rook Games,,,
Save Point: Issue 1,Replicas of Ruins,,,
Recipe for a W.R.I.P. Club,Rick Olynek,,,
In the beginning we all played Family,Rumpel,Plaintext Distro,,
Cloud Empress: The Seed Vault,Samantha Leigh,"Mothership, Cloud Empress",,
RPM Issue #1,Sandeep Rai,,,
RPM Issue #2,Sandeep Rai,,,
RPM Issue #3,Sandeep Rai,,,
RPM Issue #4,Sandeep Rai,,,
RPM Issue #5,Sandeep Rai,,,
RPM Issue #6,Sandeep Rai,,,
How to Plan for Action,Sarah Friedman,,,
Glaive,Scott Wegener,,,
Mothership,Sean McCoy,Mothership,15,https://web.archive.org/web/20250624072219/https://www.exaltedfuneral.com/products/mothership-players-survival-guide
A Pound of Flesh,Sean McCoy,Mothership,28,https://web.archive.org/web/20250808144428/https://www.exaltedfuneral.com/products/a-pound-of-flesh-pdf-copy
Mothership: Core Set,Sean McCoy,Mothership,59,https://web.archive.org/web/20250808133246/https://www.exaltedfuneral.com/products/mothership-core-set
Erno Noise,"Sean Richer, DN Wilkie",Mothership,21,https://web.archive.org/web/20250831065405/https://spearwitch.com/products/erno-noise-issue-11
Underneath,Seb Pines,,,
Cloud Empress: Echoes of Memories,Sebastian Yue,"Mothership, Cloud Empress",,
Against the Grey: Referee Pamphlet,Secret Table,Tunnel Goons,,
Against the Grey: Player Pamphlet,Secret Table,Tunnel Goons,,
The Bird Oracle,Shing Yin Khor,,,
My Body Is a Cage,Snow,,50,https://web.archive.org/web/20250622170854/https://nerves.store/products/my-body-is-a-cage?variant=38009346588859
Aberdeen 01,Snow,,14,https://web.archive.org/web/20250801213749/https://snowttrpg.itch.io/aberdeen-issue-1
Aberdeen 02,Snow,,14,https://web.archive.org/web/20250801213749/https://snowttrpg.itch.io/aberdeen-issue-2
The Sun King's Palace,Snow,,66,https://web.archive.org/web/20250803130248/https://snowttrpg.itch.io/the-sun-kings-palace
Melancholy Island,Snow,,34,https://web.archive.org/web/20250801213751/https://snowttrpg.itch.io/melancholy-island
Experience Points,Stu Horvath,,15,https://web.archive.org/web/20250806054512/https://www.exaltedfuneral.com/products/experience-points
Stewpot: Tales from a Fantasy Tavern,Takuma Okada,"Firebrands, Stewpot",25,https://web.archive.org/web/20250808115301/https://evilhat.com/product/stewpot/
"Stewpot: Dice, Dungeons, and Delicacies",Takuma Okada,"Firebrands, Stewpot",9,https://www.drivethrurpg.com/en/product/511862/stewpot-dice-dungeons-and-delicacies
Abruption,Taylor Dow,,,
Knock: Issue 1,The Merry Mushmen,,48,https://web.archive.org/web/20250803105414/https://www.themerrymushmen.com/product/knock-1-tmm/
Knock: Issue 2,The Merry Mushmen,,48,https://web.archive.org/web/20250803114943/https://www.themerrymushmen.com/product/knock-2-tmm/
Knock: Issue 3,The Merry Mushmen,,48,https://web.archive.org/web/20250813201216/https://www.themerrymushmen.com/product/knock-3-tmm/
Knock: Issue 4,The Merry Mushmen,,48,https://web.archive.org/web/20250627025540/https://www.themerrymushmen.com/product/knock-4-tmm/
Knock: Issue 5,The Merry Mushmen,,48,https://web.archive.org/web/20250803122909/https://www.themerrymushmen.com/product/knock-5-tmm/
The Chaos Crier: Issue #0,The Merry Mushmen,,13,https://web.archive.org/web/20250808015136/https://www.themerrymushmen.com/product/black-sword-hack-ultimate-chaos-edition/
Raiding the Obsidian Keep,The Merry Mushmen,OSE,44,https://web.archive.org/web/20250803115717/https://www.themerrymushmen.com/product/raiding-the-obsidian-keep/
The Horrendous Hounds of Hendenburgh,The Merry Mushmen,OSE,44,https://web.archive.org/web/20250806021455/https://www.themerrymushmen.com/product/nightmare-over-ragged-hollow/
Nightmare over Ragged Hollow,The Merry Mushmen,OSE,44,https://web.archive.org/web/20250708045054/https://www.themerrymushmen.com/product/the-horrendous-hounds-of-hendenburgh/
D.U.M.P. Quest,"Timothy Frese, Crystal Wolf",,,
D.U.M.P. Quest 2,"Timothy Frese, Crystal Wolf",,,
Death of the Author,Trynne Delaney,,,
Adventure Hooks,Tyler Crumrine,,,
"Beak, Feather + Bone",Tyler Crumrine,,,
Claw Atlas,Tyler Crumrine,,,
The Details of Our Escape,Tyler Crumrine,,,
Return to Perinthos,Violet Ballard,,,
Cloud Empress: Rulebook,Watt,"Mothership, Cloud Empress",,
Cloud Empress: Solo Protocol,Watt,"Mothership, Cloud Empress",,
Cloud Empress: Land of Cicadas,Watt,"Mothership, Cloud Empress",,
Cloud Empress: Last Voyage of the Bean Barge,Watt,"Mothership, Cloud Empress",,
Wyrd Science: Issue 2,Wyrd Science,,,
Wyrd Science: Issue 3,Wyrd Science,,,
Wyrd Science: Issue 4,Wyrd Science,,,
Wyrd Science: Issue 5,Wyrd Science,,,
Wyrd Science: Issue 6,Wyrd Science,,,
Cairn,Yochai Gal,Cairn,,
Cairn: The Complete 2nd Edition,Yochai Gal,Cairn,,
Realms of Peril: Game Master's Handbook,Zack Wolf,,,
Realms of Peril: Adventurer's Field Guide,Zack Wolf,,,
Zone,candle,Plaintext Distro,,
Manifesto Megamix,candle,Plaintext Distro,,
Space People,thecatamites,Plaintext Distro,,
The Pond #6,,,,
Astigmatism Zine,,,,
